TWLVC1|20260921|202609211813|1870|code,fgn,fgnD,inv,invD,dlrH,mgn,mgnChg,shrt,sr,big,bigChg,small,smallChg,holders,holdersChg,mgnRate,mgnCost,mgnConf
2371,8130.762,1,-0.861,-2,23.07,,,,,43.82,,42.49,,268143,,,,
2373,-3,-1,0,0,0,,,,,86.21,,10.83,,14140,,,,
2374,-196,-1,0,0,-0.479,,,,,21.55,,66.39,,104927,,,,
2375,-410.874,-1,0,0,0.025,,,,,15.31,,69.11,,77744,,,,
2376,570.476,2,37.442,8,-7.429,,,,,65.14,,21.22,,94521,,,,
2377,794.077,7,31,1,115.01,,,,,62.10,,26.41,,97855,,,,
2379,1612.927,4,-18.453,-4,80.041,,,,,59.29,,13.83,,86475,,,,
2380,4,10,0,0,0,,,,,32.78,,53.67,,23544,,,,
2382,-1255.121,-2,1675.299,7,6,,,,,81.70,,11.81,,275649,,,,
2383,369.859,4,-553.021,-6,-1.899,,,,,55.54,,17.86,,121470,,,,
2385,-46.954,-1,-89.011,-1,-37.75,,,,,68.14,,19.69,,51453,,,,
2387,-0.408,-1,40.293,5,0,,,,,52.60,,33.90,,16940,,,,
2388,-859.908,-7,0,0,8.086,,,,,67.96,,24.03,,54188,,,,
2390,146.31,4,0,0,0,,,,,33.81,,52.30,,62193,,,,
2392,827.872,1,0,0,267.341,,,,,46.12,,42.76,,65497,,,,
2393,-175.324,-1,119.137,11,-2.814,,,,,59.61,,25.44,,51304,,,,
2395,720.21,1,51.916,1,33.173,,,,,77.11,,7.37,,35476,,,,
2397,42,3,0,0,0,,,,,65.42,,25.59,,9193,,,,
2399,3782.389,1,0,0,73.745,,,,,23.78,,58.32,,54114,,,,
2401,-83.709,-1,0,0,47.221,,,,,35.75,,48.41,,131202,,,,
2402,-63,-2,0,0,-41.397,,,,,32.92,,54.25,,82555,,,,
2404,-603.031,-1,456,2,-17.36,,,,,39.17,,32.43,,69620,,,,
2405,255,4,0,0,0,,,,,19.47,,63.66,,96974,,,,
2406,75,4,0,0,-0.707,,,,,17.28,,66.25,,115947,,,,
2408,-4122.631,-1,-22.146,-1,-69.372,,,,,80.00,,13.88,,370062,,,,
2409,235893.466,1,-27.329,-1,11053.691,,,,,45.71,,39.90,,629821,,,,
2412,1074.976,15,305.371,1,58,,,,,77.93,,17.50,,298660,,,,
2413,1080.4,1,0,0,-0.17,,,,,50.42,,38.67,,27323,,,,
2414,-52.985,-1,0,0,0,,,,,49.74,,30.15,,15690,,,,
2415,4,1,0,0,0,,,,,58.53,,30.64,,8822,,,,
2417,76.07,6,0,0,0,,,,,39.00,,51.13,,61594,,,,
2419,1058.822,1,0,0,115.833,,,,,62.61,,30.67,,37882,,,,
2420,-5,-2,0,0,-0.427,,,,,39.27,,43.39,,39115,,,,
2421,-17.295,-1,-29,-2,-26.373,,,,,52.55,,25.03,,54244,,,,
2423,6,3,0,0,0,,,,,69.54,,15.27,,6176,,,,
2424,-2,-12,0,0,0,,,,,79.18,,16.74,,4336,,,,
2425,82.073,10,0,0,0,,,,,38.88,,44.84,,44087,,,,
2426,-1979.143,-1,0,0,-105.132,,,,,41.01,,46.33,,112316,,,,
2427,8.85,3,0,0,0,,,,,50.19,,39.30,,21943,,,,
2428,-215,-1,0,0,5.637,,,,,51.75,,29.39,,19165,,,,
2429,133.077,4,0,0,0,,,,,42.61,,46.76,,27490,,,,
