TWLV1|20260923|202609232210|1958|code,name,mkt,high,low,close,chg,lot,wan,kshares,open
6967,汎瑋材料,2,66.5,65.9,66.4,0.1,46,305,30404,66.1
6968,萬達寵物,2,41.6,41.4,41.55,0,55,228,49447,41.55
6971,惠民實業,2,23.7,23.55,23.7,0,22,52,38668,23.55
6982,大井泵浦,2,44.2,43,43.6,0.1,24,104,40752,44.2
6983,華洋精機,2,352,347.5,348,0,27,944,18020,348
6986,和迅,2,45.9,44.8,45.5,0.25,127,576,52134,45.25
6996,力領科技,2,173,169.5,170,1,41,702,42090,171
6997,博弘,2,66.8,66.7,66.7,-0.3,5,33,22100,66.8
7402,邑錡,2,102,99.9,100,0,177,1778,35281,100
7547,碩網,2,54.3,52.1,54,2.2,99,527,33963,52.1
7556,意德士,2,262,256.5,262,3.5,15,388,29081,258.5
7584,樂意,2,27.8,27.1,27.1,-0.85,7,19,16463,27.35
7642,昶瑞機電,2,69,68.3,68.6,0.3,9,62,30150,68.5
7703,銳澤,2,203.5,200,201,1,94,1901,34745,200
7704,明遠精密,2,62.1,61.6,61.9,-0.2,17,105,33770,62.1
7708,全家餐飲,2,92,91.9,92,0.1,8,74,25500,91.9
7709,榮田,2,89.5,84,85.5,-1.5,118,1013,39103,89.5
7712,博盛半導體,2,171,159,166,8.5,715,11816,32562,160
7713,威力德生醫,2,74.5,73.9,74,0.2,12,89,45479,73.9
7714,創泓科技,2,165,161.5,162,-1,197,3202,21000,163.5
7715,裕山,2,27.85,27.1,27.2,-0.65,57,157,32756,27.85
7716,昱臺國際,2,23.9,23.9,23.9,-0.05,1,2,22500,23.9
7717,萊德光電-KY,2,631,596,608,13,1524,93791,24832,601
7718,友鋮,2,46.75,45.7,46,0.35,24,111,46356,46.75
7723,築間,2,18.45,18.25,18.35,0,60,110,49620,18.35
7728,光焱科技,2,591,576,589,13,36,2101,13854,580
7734,印能科技,2,2610,2550,2580,20,109,28058,28000,2560
7738,東聯互動,2,157,154,156,-1.5,34,530,27356,157
7743,金利食安,2,25.15,24.75,25,0,53,132,36483,25
7744,崴寶,2,546,530,534,0,74,3973,32077,545
7747,昕奇雲端,2,113.5,112,113.5,-0.5,8,90,30169,113.5
7751,竑騰,2,1440,1410,1435,15,46,6550,26889,1420
7753,星亞,2,35.8,35.35,35.5,-0.35,11,39,25000,35.75
7757,金色三麥,2,90.3,86.9,89.2,0.6,26,229,24100,88.1
7767,仁大資訊,2,46.65,46.4,46.65,0,4,19,30100,46.65
7770,君曜,2,40.2,39.2,39.5,-0.4,22,87,30062,39.9
7772,耀穎,2,199,171,173.5,-14.5,2624,48293,26499,199
7777,能率亞洲,2,36,35.5,35.5,-0.25,545,1946,186606,36
7782,光速火箭,2,25.3,25.3,25.3,0,2,5,23213,25.3
7792,安葆,2,415.5,378,415.5,37.5,2573,104037,46662,378.5
