code,big,small,holders
1799,64.07,24.95,18890
1802,74.53,20.91,200290
1805,70.40,12.88,9266
1806,70.92,20.67,24604
1807,38.24,38.06,7550
1808,78.85,14.74,27534
1809,43.48,46.82,53408
1810,56.33,32.26,24474
1813,33.67,38.74,9045
1814,53.70,10.41,451
1815,47.66,42.76,153913
1816,91.94,3.57,900
1817,58.35,22.82,4504
1818,63.87,8.26,135
1819,65.69,4.19,136
1903,74.91,10.88,20890
1904,64.11,24.83,323559
1905,69.05,24.92,71118
1906,70.13,19.47,12484
1907,82.20,10.09,81802
1907A,0.00,99.99,35
1909,63.79,23.43,84378
1918,17.85,66.30,30816
2002,49.26,37.55,1315246
2002A,8.37,62.68,5362
2006,75.03,13.69,58974
2007,75.66,19.18,27486
2008,91.25,4.98,7480
2009,56.14,38.14,47767
2010,65.01,23.07,34654
2012,74.58,10.53,44589
2013,77.32,17.55,43799
2014,47.56,42.30,173236
2015,82.10,6.07,11649
2017,56.96,29.99,40941
2020,44.19,40.00,59706
2022,37.14,47.97,62262
2023,77.79,16.88,101235
2024,80.78,13.21,50374
2025,59.38,27.09,30245
2027,73.74,16.58,105184
2028,81.29,12.90,21333
2029,67.77,21.77,14159
2030,48.40,38.22,55045
2031,53.63,32.80,65348
2032,49.58,33.76,12130
2033,66.76,14.36,4422
2034,44.30,38.89,37838
2035,96.11,2.59,20739
2038,49.46,38.51,26130
2049,60.33,21.47,65397
2052R,0.00,81.82,5551
2056,85.71,2.63,254
2058,18.54,53.40,37095
2059,54.18,18.75,51407
2060,87.22,5.25,135
2061,30.52,37.75,11658
2062,55.43,29.37,11499
2063,37.55,30.32,3380
2064,72.44,8.95,1627
2065,44.41,40.83,49503
2066,53.56,25.32,3089
2067,49.07,30.98,2231
2068,100.00,0.00,1
2069,53.44,26.43,9108
2070,47.35,31.45,5250
2071,73.64,9.35,904
2072,71.39,17.87,10284
2073,51.61,10.35,642
2101,58.47,24.48,37161
2102,78.03,12.74,79235
